# IODP371 site U1508 physical property data
#Raw data		
depth_m_bsf	velocity_m/s	density_Mg/m3
141.8484	1.7637	1.6085
142.0008	1.7696	1.6086
142.1532	1.7833	1.6087
142.3056	1.7950	1.6088
142.4580	1.7991	1.6089
142.6104	1.8011	1.6090
142.7628	1.7998	1.6091
142.9152	1.7889	1.6092
143.0676	1.7863	1.6093
143.2200	1.7729	1.6094
143.3724	1.7732	1.6094
143.5248	1.7694	1.6095
143.6772	1.7669	1.6096
143.8296	1.7631	1.6097
143.9820	1.7633	1.6098
144.1344	1.7624	1.6099
144.2868	1.7720	1.6100
144.4392	1.7763	1.6101
144.5916	1.7801	1.6102
144.7440	1.7836	1.6103
144.8964	1.7844	1.6104
145.0488	1.7865	1.6104
145.2012	1.7865	1.6105
145.3536	1.7867	1.6106
145.5060	1.7855	1.6107
145.6584	1.7848	1.6108
145.8108	1.7834	1.6109
145.9632	1.7847	1.6110
146.1156	1.7842	1.6111
146.2680	1.7868	1.6112
146.4204	1.7931	1.6113
146.5728	1.7815	1.6114
146.7252	1.7768	1.6114
146.8776	1.7654	1.6115
147.0300	1.7582	1.6116
147.1824	1.7555	1.6117
147.3348	1.7527	1.6118
147.4872	1.7481	1.6119
147.6396	1.7443	1.6120
147.7920	1.7421	1.6121
147.9444	1.7443	1.6122
148.0968	1.7521	1.6123
148.2492	1.7561	1.6124
148.4016	1.7599	1.6125
148.5540	1.7650	1.6125
148.7064	1.7675	1.6126
148.8588	1.7683	1.6127
149.0112	1.7732	1.6128
149.1636	1.7821	1.6129
149.3160	1.7887	1.6130
149.4684	1.7918	1.6131
149.6208	1.7989	1.6132
149.7732	1.8023	1.6133
149.9256	1.8074	1.6134
150.0780	1.8140	1.6135
150.2304	1.8202	1.6136
150.3828	1.8106	1.6137
150.5352	1.8170	1.6138
150.6876	1.8090	1.6138
150.8400	1.8017	1.6139
150.9924	1.8003	1.6140
151.1448	1.7904	1.6141
151.2972	1.7825	1.6142
151.4496	1.7818	1.6143
151.6020	1.7791	1.6144
151.7544	1.7689	1.6145
151.9068	1.7633	1.6146
152.0592	1.7610	1.6147
152.2116	1.7609	1.6148
152.3640	1.7580	1.6149
152.5164	1.7579	1.6150
152.6688	1.7611	1.6151
152.8212	1.7587	1.6152
152.9736	1.7509	1.6152
153.1260	1.7483	1.6153
153.2784	1.7465	1.6154
153.4308	1.7495	1.6155
153.5832	1.7526	1.6156
153.7356	1.7504	1.6157
153.8880	1.7581	1.6158
154.0404	1.7599	1.6159
154.1928	1.7625	1.6160
154.3452	1.7543	1.6161
154.4976	1.7550	1.6162
154.6500	1.7500	1.6163
154.8024	1.7563	1.6164
154.9548	1.7676	1.6165
155.1072	1.7817	1.6166
155.2596	1.7938	1.6167
155.4120	1.8030	1.6168
155.5644	1.8108	1.6168
155.7168	1.8204	1.6169
