# IODP371 site U1510 Rate of penetration (ROP) and Weight on bit (WOB) data. Data are only available for below 150 m in the borehole.
depth_(m)	ROP_(m/s)	WOB_(kN)
243.3410	0.0073	195.2800
243.3910	0.0068	195.2800
243.4410	0.0063	195.2800
243.4910	0.0062	195.2800
243.5410	0.0061	195.2800
243.5910	0.0061	195.2800
243.6410	0.0061	196.5890
243.6910	0.0059	217.1870
243.7410	0.0059	228.7370
243.7910	0.0059	228.7370
243.8410	0.0058	228.7370
243.8910	0.0043	228.7370
243.9410	0.0035	219.0780
243.9910	0.0035	218.5430
244.0410	0.0035	218.5430
244.0910	0.0035	218.5430
244.1410	0.0038	218.5430
244.1910	0.0045	253.8810
244.2410	0.0045	253.9300
244.2910	0.0046	253.9300
244.3410	0.0047	253.9300
244.3910	0.0047	253.8810
244.4410	0.0048	251.3590
244.4910	0.0051	249.5440
244.5410	0.0052	247.7850
244.5910	0.0053	247.6830
244.6410	0.0055	245.3370
244.6910	0.0055	244.9500
244.7410	0.0055	244.9500
244.7910	0.0055	244.9500
244.8410	0.0057	244.9500
244.8910	0.0057	246.2080
244.9410	0.0057	246.4200
244.9910	0.0057	246.5490
245.0410	0.0057	246.7690
245.0910	0.0057	247.6470
245.1410	0.0057	247.6470
245.1910	0.0057	247.6470
245.2410	0.0057	248.4920
245.2910	0.0057	248.4920
245.3410	0.0057	248.4920
245.3910	0.0057	247.6470
245.4410	0.0057	245.7390
245.4910	0.0060	247.0500
245.5410	0.0063	248.4920
245.5910	0.0063	248.7660
245.6410	0.0063	248.7660
245.6910	0.0063	248.7660
245.7410	0.0063	257.2240
245.7910	0.0063	257.2240
245.8410	0.0061	257.2240
245.8910	0.0056	257.2240
245.9410	0.0053	256.8340
245.9910	0.0053	238.3700
246.0410	0.0053	233.3500
246.0910	0.0053	233.2010
246.1410	0.0053	233.2010
246.1910	0.0052	233.2010
246.2410	0.0051	233.2010
246.2910	0.0051	235.0360
246.3410	0.0049	236.6530
246.3910	0.0049	240.8320
246.4410	0.0049	240.8320
246.4910	0.0049	240.8320
246.5410	0.0050	240.8320
246.5910	0.0050	235.1860
246.6410	0.0051	232.0980
246.6910	0.0051	232.0940
246.7410	0.0051	230.2830
246.7910	0.0063	230.2830
246.8410	0.0065	229.2580
246.8910	0.0065	224.7380
246.9410	0.0065	225.1810
246.9910	0.0065	227.9210
247.0410	0.0065	227.9210
247.0910	0.0066	225.2410
247.1410	0.0067	225.1810
247.1910	0.0066	224.0820
247.2410	0.0066	224.0820
247.2910	0.0066	222.5150
247.3410	0.0067	222.5150
247.3910	0.0067	222.5150
247.4410	0.0068	222.5150
247.4910	0.0068	222.8560
247.5410	0.0068	224.8760
247.5910	0.0069	225.2440
247.6410	0.0070	225.2440
247.6910	0.0070	225.2440
247.7410	0.0070	225.2440
247.7910	0.0070	229.9560
247.8410	0.0070	230.3380
247.8910	0.0070	230.7170
247.9410	0.0070	233.2280
247.9910	0.0070	233.2280
248.0410	0.0070	233.2280
248.0910	0.0072	233.4050
248.1410	0.0075	233.4050
248.1910	0.0075	233.4050
248.2410	0.0075	233.4050
248.2910	0.0075	239.2460
248.3410	0.0075	239.2460
248.3910	0.0072	239.2460
248.4410	0.0072	239.2460
248.4910	0.0072	231.8350
248.5410	0.0072	231.4030
248.5910	0.0071	228.6110
248.6410	0.0071	228.2090
248.6910	0.0071	228.0050
248.7410	0.0071	228.0050
248.7910	0.0071	228.0050
248.8410	0.0071	227.8760
248.8910	0.0069	227.8760
248.9410	0.0066	228.2090
248.9910	0.0063	228.5060
249.0410	0.0063	228.5060
249.0910	0.0063	229.0400
249.1410	0.0063	229.0400
249.1910	0.0063	229.0400
249.2410	0.0063	227.6170
249.2910	0.0063	224.9170
249.3410	0.0063	224.9170
249.3910	0.0063	224.9170
249.4410	0.0065	224.9170
249.4910	0.0064	232.6390
249.5410	0.0065	232.6390
249.5910	0.0065	232.6390
249.6410	0.0065	232.6390
249.6910	0.0065	232.6390
249.7410	0.0067	232.6390
249.7910	0.0072	232.6390
249.8410	0.0074	234.7420
249.8910	0.0075	234.7420
249.9410	0.0075	234.7420
249.9910	0.0077	234.7420
250.0410	0.0077	231.8520
250.0910	0.0078	231.6580
250.1410	0.0078	231.3380
250.1910	0.0079	231.3380
250.2410	0.0079	231.3380
250.2910	0.0079	231.3380
250.3410	0.0079	237.3810
250.3910	0.0078	237.8770
250.4410	0.0077	239.7890
250.4910	0.0077	246.2900
250.5410	0.0076	246.2900
250.5910	0.0076	246.2900
250.6410	0.0075	246.2900
250.6910	0.0073	240.3630
250.7410	0.0073	240.3630
250.7910	0.0072	240.3630
250.8410	0.0072	239.1330
250.8910	0.0072	239.1330
250.9410	0.0072	239.1330
250.9910	0.0070	238.7620
251.0410	0.0070	237.2080
251.0910	0.0070	235.0520
251.1410	0.0070	223.0060
251.1910	0.0070	220.9100
251.2410	0.0073	218.8020
251.2910	0.0073	218.7140
251.3410	0.0079	214.5550
251.3910	0.0079	214.5550
251.4410	0.0080	214.5550
251.4910	0.0080	214.5550
251.5410	0.0080	220.5710
251.5910	0.0080	222.9710
251.6410	0.0080	228.0730
251.6910	0.0079	233.8900
251.7410	0.0079	233.8900
251.7910	0.0078	233.8900
251.8410	0.0077	233.8900
251.8910	0.0074	233.2860
251.9410	0.0074	233.2860
251.9910	0.0073	233.2860
252.0410	0.0070	233.2860
252.0910	0.0070	233.2860
252.1410	0.0070	233.2860
252.1910	0.0070	235.3650
252.2410	0.0070	239.1540
252.2910	0.0069	239.1540
252.3410	0.0068	239.1540
252.3910	0.0068	239.1540
252.4410	0.0068	236.5920
252.4910	0.0068	232.3560
252.5410	0.0068	232.3560
252.5910	0.0069	232.3560
252.6410	0.0074	230.6730
252.6910	0.0080	228.4510
252.7410	0.0080	228.4510
252.7910	0.0080	228.4510
252.8410	0.0081	228.4510
252.8910	0.0081	231.2160
252.9410	0.0080	248.5640
252.9910	0.0082	248.5640
253.0410	0.0082	248.5640
253.0910	0.0082	248.5640
253.1410	0.0083	245.3260
253.1910	0.0085	243.3150
253.2410	0.0085	240.3050
253.2910	0.0085	239.0010
253.3410	0.0085	239.0010
253.3910	0.0084	239.0010
253.4410	0.0069	239.0010
253.4910	0.0069	239.0010
253.5410	0.0069	239.0010
253.5910	0.0069	239.0010
253.6410	0.0069	238.9180
253.6910	0.0068	237.8810
253.7410	0.0067	236.9880
253.7910	0.0067	235.5280
253.8410	0.0067	235.5280
253.8910	0.0067	235.1980
253.9410	0.0068	233.9300
253.9910	0.0068	232.7790
254.0410	0.0069	232.7790
254.0910	0.0069	232.7790
254.1410	0.0069	232.7790
254.1910	0.0069	237.0290
254.2410	0.0067	238.4200
254.2910	0.0064	245.9680
254.3410	0.0061	248.1510
254.3910	0.0061	248.1510
254.4410	0.0061	248.1510
254.4910	0.0061	248.1510
254.5410	0.0062	249.4620
254.5910	0.0062	249.4620
254.6410	0.0062	249.4620
254.6910	0.0062	249.4620
254.7410	0.0061	249.4620
254.7910	0.0060	249.4620
254.8410	0.0058	249.4620
254.8910	0.0051	240.1250
254.9410	0.0048	221.8250
254.9910	0.0048	221.6090
255.0410	0.0048	213.5940
255.0910	0.0048	213.5940
255.1410	0.0048	213.5940
255.1910	0.0048	213.5940
255.2410	0.0048	213.5940
255.2910	0.0048	213.5940
255.3410	0.0048	213.5940
255.3910	0.0048	214.0510
255.4410	0.0048	214.7050
255.4910	0.0050	218.6700
255.5410	0.0053	219.4000
255.5910	0.0054	220.2080
255.6410	0.0054	220.2840
255.6910	0.0054	220.2840
255.7410	0.0054	220.2840
255.7910	0.0054	220.7510
255.8410	0.0054	220.7510
255.8910	0.0054	220.7510
255.9410	0.0054	220.7510
255.9910	0.0054	219.6110
256.0410	0.0054	219.6110
256.0910	0.0053	219.6110
256.1410	0.0044	219.6110
256.1910	0.0043	220.2530
256.2410	0.0043	220.4060
256.2910	0.0043	221.0480
256.3410	0.0041	221.7380
256.3910	0.0041	221.7380
256.4410	0.0041	224.0660
256.4910	0.0041	225.7960
256.5410	0.0041	226.6810
256.5910	0.0041	226.9160
256.6410	0.0041	226.9160
256.6910	0.0041	227.3700
256.7410	0.0041	227.3700
256.7910	0.0041	227.7850
256.8410	0.0041	228.4370
256.8910	0.0044	229.1820
256.9410	0.0054	229.1820
256.9910	0.0054	229.1820
257.0410	0.0054	229.1820
257.0910	0.0054	227.6300
257.1410	0.0043	224.1140
257.1910	0.0043	220.4960
257.2410	0.0043	219.0580
257.2910	0.0043	219.0580
257.3410	0.0043	219.0580
257.3910	0.0046	219.0580
257.4410	0.0046	219.7770
257.4910	0.0046	219.7770
257.5410	0.0046	219.7770
257.5910	0.0050	219.8620
257.6410	0.0054	220.0750
257.6910	0.0056	221.4860
257.7410	0.0056	221.4860
257.7910	0.0057	220.0750
257.8410	0.0058	220.0750
257.8910	0.0060	218.9770
257.9410	0.0061	218.9770
257.9910	0.0061	218.9770
258.0410	0.0061	218.9770
258.0910	0.0061	220.6630
258.1410	0.0060	220.8290
258.1910	0.0057	220.8950
258.2410	0.0056	220.9470
258.2910	0.0055	223.6110
258.3410	0.0055	223.6110
258.3910	0.0055	223.6110
258.4410	0.0054	223.6110
258.4910	0.0054	223.6110
258.5410	0.0054	223.6110
258.5910	0.0054	228.1510
258.6410	0.0054	230.7670
258.6910	0.0056	230.8390
258.7410	0.0064	230.8390
258.7910	0.0064	230.8390
258.8410	0.0065	230.8390
258.8910	0.0071	230.2300
258.9410	0.0071	228.2910
258.9910	0.0071	226.9880
259.0410	0.0071	226.5530
259.0910	0.0071	226.1190
259.1410	0.0071	226.1190
259.1910	0.0070	225.6850
259.2410	0.0065	222.7660
259.2910	0.0060	222.7660
259.3410	0.0060	222.7660
259.3910	0.0060	222.7660
259.4410	0.0060	224.6750
259.4910	0.0060	226.6190
259.5410	0.0060	232.6980
259.5910	0.0063	232.9060
259.6410	0.0063	233.6040
259.6910	0.0063	233.6040
259.7410	0.0063	233.6040
259.7910	0.0059	233.6040
259.8410	0.0059	232.5400
259.8910	0.0059	232.5300
259.9410	0.0059	232.2300
259.9910	0.0059	232.1520
260.0410	0.0070	225.1060
260.0910	0.0070	224.4360
260.1410	0.0070	224.4360
260.1910	0.0071	224.4360
260.2410	0.0074	224.1510
260.2910	0.0076	224.1510
260.3410	0.0076	224.1510
260.3910	0.0076	224.1510
260.4410	0.0076	223.3150
260.4910	0.0076	223.0410
260.5410	0.0075	223.0410
260.5910	0.0074	223.3150
260.6410	0.0071	223.3150
260.6910	0.0061	233.8980
260.7410	0.0061	249.4940
260.7910	0.0060	249.4940
260.8410	0.0060	249.4940
260.8910	0.0060	249.4940
260.9410	0.0060	244.0930
260.9910	0.0060	238.6920
261.0410	0.0060	227.5960
261.0910	0.0060	225.9830
261.1410	0.0060	223.3770
261.1910	0.0060	223.3640
261.2410	0.0061	222.1560
261.2910	0.0061	222.1560
261.3410	0.0061	222.1560
261.3910	0.0063	222.1560
261.4410	0.0067	223.0080
261.4910	0.0071	223.3470
261.5410	0.0075	225.0450
261.5910	0.0078	228.6850
261.6410	0.0078	229.6920
261.6910	0.0078	229.7640
261.7410	0.0078	229.7640
261.7910	0.0078	229.7640
261.8410	0.0068	229.7640
261.8910	0.0062	229.7640
261.9410	0.0062	229.7640
261.9910	0.0061	229.7640
262.0410	0.0058	231.5470
262.0910	0.0058	234.5200
262.1410	0.0058	235.0160
262.1910	0.0057	235.0160
262.2410	0.0057	235.0480
262.2910	0.0057	235.0800
262.3410	0.0056	235.0960
262.3910	0.0055	235.1440
262.4410	0.0054	235.5720
262.4910	0.0053	236.0010
262.5410	0.0053	238.1660
262.5910	0.0053	238.1660
262.6410	0.0053	238.1660
262.6910	0.0053	238.1660
262.7410	0.0053	238.1660
262.7910	0.0053	237.2540
262.8410	0.0053	235.7940
262.8910	0.0055	234.0400
262.9410	0.0055	231.6360
262.9910	0.0055	230.3870
263.0410	0.0055	229.3110
263.0910	0.0053	229.3110
263.1410	0.0041	230.3870
263.1910	0.0041	231.6360
263.2410	0.0041	234.0990
263.2910	0.0041	236.7780
263.3410	0.0041	236.7780
263.3910	0.0041	236.7780
263.4410	0.0038	236.7780
263.4910	0.0038	231.2130
263.5410	0.0038	231.0850
263.5910	0.0038	231.0850
263.6410	0.0038	231.0850
263.6910	0.0040	230.8730
263.7410	0.0041	230.6780
263.7910	0.0043	231.0850
263.8410	0.0050	231.7300
263.8910	0.0050	232.1870
263.9410	0.0050	236.4160
263.9910	0.0050	240.6470
264.0410	0.0040	254.3440
264.0910	0.0040	257.3660
264.1410	0.0039	258.8630
264.1910	0.0039	258.8630
264.2410	0.0035	260.7320
264.2910	0.0035	261.1090
264.3410	0.0035	261.1090
264.3910	0.0035	261.1090
264.4410	0.0035	261.1090
264.4910	0.0035	261.1120
264.5410	0.0035	260.9350
264.5910	0.0035	259.8290
264.6410	0.0035	259.4370
264.6910	0.0035	259.1330
264.7410	0.0032	259.8290
264.7910	0.0031	256.4180
264.8410	0.0031	254.4980
264.8910	0.0031	253.4450
264.9410	0.0031	239.4520
264.9910	0.0032	232.2200
265.0410	0.0033	231.6040
265.0910	0.0033	231.5620
265.1410	0.0035	231.5440
265.1910	0.0035	231.5270
265.2410	0.0036	231.1360
265.2910	0.0036	229.8890
265.3410	0.0036	228.8000
265.3910	0.0036	228.7570
265.4410	0.0036	228.7570
265.4910	0.0036	228.7570
265.5410	0.0037	228.7570
265.5910	0.0037	228.7570
265.6410	0.0036	229.4660
265.6910	0.0036	232.5300
265.7410	0.0036	232.6720
265.7910	0.0036	233.1880
265.8410	0.0036	233.1880
265.8910	0.0036	234.3620
265.9410	0.0036	235.0020
265.9910	0.0037	235.1270
266.0410	0.0039	255.2630
266.0910	0.0043	261.0080
266.1410	0.0043	261.7810
266.1910	0.0043	261.7810
266.2410	0.0043	261.7810
266.2910	0.0043	261.4700
266.3410	0.0043	261.4700
266.3910	0.0043	261.3500
266.4410	0.0045	255.7050
266.4910	0.0045	255.7050
266.5410	0.0046	255.7050
266.5910	0.0047	255.7050
266.6410	0.0051	255.8600
266.6910	0.0051	257.3320
266.7410	0.0051	258.1510
266.7910	0.0051	258.6450
266.8410	0.0051	259.0720
266.8910	0.0051	259.1120
266.9410	0.0051	260.4500
266.9910	0.0051	260.4500
267.0410	0.0051	260.4200
267.0910	0.0052	259.1120
267.1410	0.0052	259.1120
267.1910	0.0052	255.9120
267.2410	0.0054	243.5820
267.2910	0.0054	216.7760
267.3410	0.0055	216.5060
267.3910	0.0055	215.6940
267.4410	0.0054	215.6440
267.4910	0.0054	215.6440
267.5410	0.0052	215.6440
267.5910	0.0050	216.5060
267.6410	0.0047	217.7800
267.6910	0.0046	222.4280
267.7410	0.0046	222.4280
267.7910	0.0046	222.4280
267.8410	0.0046	222.4280
267.8910	0.0047	221.9160
267.9410	0.0049	221.8720
267.9910	0.0050	221.8220
268.0410	0.0052	220.6170
268.0910	0.0053	219.1350
268.1410	0.0053	218.3710
268.1910	0.0053	218.3710
268.2410	0.0053	218.3710
268.2910	0.0054	218.3710
268.3410	0.0054	219.1460
268.3910	0.0055	230.9080
268.4410	0.0057	230.9080
268.4910	0.0059	230.9080
268.5410	0.0062	230.9080
268.5910	0.0062	226.8970
268.6410	0.0062	218.5560
268.6910	0.0063	218.0910
268.7410	0.0064	218.0910
268.7910	0.0064	218.0910
268.8410	0.0064	218.0910
268.8910	0.0064	218.0910
268.9410	0.0064	218.0910
268.9910	0.0064	218.0910
269.0410	0.0062	215.6140
269.0910	0.0062	215.2750
269.1410	0.0056	214.6930
269.1910	0.0056	214.6930
269.2410	0.0056	214.6930
269.2910	0.0056	214.6930
269.3410	0.0058	216.4000
269.3910	0.0059	216.4000
269.4410	0.0063	216.4000
269.4910	0.0069	216.4000
269.5410	0.0075	215.1350
269.5910	0.0077	213.6870
269.6410	0.0077	213.3760
269.6910	0.0078	210.9210
269.7410	0.0081	209.6300
269.7910	0.0081	209.3720
269.8410	0.0081	209.2300
269.8910	0.0081	209.2300
269.9410	0.0081	209.2300
269.9910	0.0081	209.2300
270.0410	0.0081	209.2300
270.0910	0.0081	209.2300
270.1410	0.0082	210.0010
270.1910	0.0083	210.7010
270.2410	0.0084	210.8630
270.2910	0.0084	211.0970
270.3410	0.0084	211.0970
270.3910	0.0083	212.2150
270.4410	0.0082	212.2150
270.4910	0.0082	212.2150
270.5410	0.0082	212.2150
270.5910	0.0082	212.2150
270.6410	0.0082	212.2150
270.6910	0.0082	212.2150
270.7410	0.0082	212.1150
270.7910	0.0082	211.9930
270.8410	0.0082	211.9930
270.8910	0.0080	211.9930
270.9410	0.0080	211.9930
270.9910	0.0080	211.9710
271.0410	0.0079	212.0120
271.0910	0.0079	212.0120
271.1410	0.0079	212.0120
271.1910	0.0076	211.9710
271.2410	0.0076	211.1340
271.2910	0.0076	209.8040
271.3410	0.0076	209.3920
271.3910	0.0076	209.3920
271.4410	0.0076	209.3640
271.4910	0.0076	209.3640
271.5410	0.0075	209.3640
271.5910	0.0075	207.7130
271.6410	0.0075	207.7130
271.6910	0.0075	207.7130
271.7410	0.0075	207.7130
271.7910	0.0075	208.3730
271.8410	0.0075	208.8140
271.8910	0.0073	208.9680
271.9410	0.0071	209.3570
271.9910	0.0067	209.4410
272.0410	0.0062	209.5930
272.0910	0.0061	214.1870
272.1410	0.0060	214.1870
272.1910	0.0059	214.1870
272.2410	0.0059	214.8740
272.2910	0.0059	214.8740
272.3410	0.0059	214.8740
272.3910	0.0059	214.8740
272.4410	0.0059	218.8190
272.4910	0.0060	218.8190
272.5410	0.0061	219.6280
272.5910	0.0061	220.0710
272.6410	0.0063	220.5290
272.6910	0.0065	223.9670
272.7410	0.0065	223.9670
272.7910	0.0065	223.9670
272.8410	0.0066	223.9670
272.8910	0.0066	225.4380
272.9410	0.0066	227.5070
272.9910	0.0066	227.8370
273.0410	0.0064	228.3850
273.0910	0.0063	230.0740
273.1410	0.0058	231.3650
273.1910	0.0058	231.3650
273.2410	0.0058	231.3650
273.2910	0.0058	231.7100
273.3410	0.0058	232.8590
273.3910	0.0059	232.8590
273.4410	0.0061	232.8590
273.4910	0.0061	232.8590
273.5410	0.0061	233.6970
273.5910	0.0061	234.6940
273.6410	0.0061	235.3070
273.6910	0.0061	238.8110
273.7410	0.0061	239.2600
273.7910	0.0061	239.2600
273.8410	0.0061	239.3400
273.8910	0.0061	239.3400
273.9410	0.0061	239.8850
273.9910	0.0061	239.8850
274.0410	0.0061	239.8850
274.0910	0.0054	239.8850
274.1410	0.0049	239.6650
274.1910	0.0042	239.5280
274.2410	0.0042	238.6940
274.2910	0.0042	238.6230
274.3410	0.0042	238.3390
274.3910	0.0042	238.3390
274.4410	0.0042	238.3390
274.4910	0.0042	238.6230
274.5410	0.0047	240.6820
274.5910	0.0052	249.0430
274.6410	0.0052	249.0430
274.6910	0.0053	249.0430
274.7410	0.0053	249.0430
274.7910	0.0053	245.8390
274.8410	0.0053	245.8390
274.8910	0.0053	245.8390
274.9410	0.0053	245.8390
274.9910	0.0051	245.9440
275.0410	0.0050	246.0050
275.0910	0.0049	246.0910
275.1410	0.0049	246.2070
275.1910	0.0049	246.3230
275.2410	0.0049	247.3030
275.2910	0.0050	247.3030
275.3410	0.0050	247.3030
275.3910	0.0050	247.3030
275.4410	0.0050	246.6660
275.4910	0.0050	246.6660
275.5410	0.0050	246.6660
275.5910	0.0050	246.6660
275.6410	0.0050	246.6660
275.6910	0.0050	247.0450
275.7410	0.0050	247.8040
275.7910	0.0049	250.2330
275.8410	0.0046	255.6760
275.8910	0.0045	255.6760
275.9410	0.0044	255.6760
275.9910	0.0037	255.6760
276.0410	0.0037	253.9150
276.0910	0.0037	251.8160
276.1410	0.0037	251.5500
276.1910	0.0041	251.2850
276.2410	0.0049	251.1390
276.2910	0.0051	251.2850
276.3410	0.0052	251.5500
276.3910	0.0052	251.8160
276.4410	0.0052	254.6370
276.4910	0.0052	255.6560
276.5410	0.0054	256.5980
276.5910	0.0054	257.9270
276.6410	0.0054	258.9330
276.6910	0.0055	259.4280
276.7410	0.0055	261.9850
276.7910	0.0055	261.9850
276.8410	0.0056	261.9850
276.8910	0.0059	261.9850
276.9410	0.0064	252.9900
276.9910	0.0065	252.5030
277.0410	0.0066	252.3330
277.0910	0.0067	252.2750
277.1410	0.0067	252.2750
277.1910	0.0067	252.2750
277.2410	0.0067	252.2750
277.2910	0.0069	252.2750
277.3410	0.0069	255.0950
277.3910	0.0069	255.1960
277.4410	0.0069	255.7000
277.4910	0.0068	255.7000
277.5410	0.0068	255.7000
277.5910	0.0067	255.7000
277.6410	0.0067	255.4840
277.6910	0.0067	255.3780
277.7410	0.0067	254.2360
277.7910	0.0067	253.0800
277.8410	0.0066	253.0800
277.8910	0.0066	252.2410
277.9410	0.0066	251.2240
277.9910	0.0066	251.2240
278.0410	0.0066	251.1440
278.0910	0.0066	248.7450
278.1410	0.0065	242.6490
278.1910	0.0063	242.6490
278.2410	0.0060	242.6490
278.2910	0.0060	242.6490
278.3410	0.0060	245.6820
278.3910	0.0060	247.8490
278.4410	0.0060	248.5480
278.4910	0.0059	248.5480
278.5410	0.0056	248.6230
278.5910	0.0053	248.6230
278.6410	0.0053	248.6230
278.6910	0.0053	248.5480
278.7410	0.0053	248.5480
278.7910	0.0053	248.5480
278.8410	0.0053	247.3940
278.8910	0.0047	246.4650
278.9410	0.0047	246.0510
278.9910	0.0047	245.8560
279.0410	0.0047	245.6630
279.0910	0.0056	244.8820
279.1410	0.0056	244.8820
279.1910	0.0057	244.8820
279.2410	0.0059	244.8820
279.2910	0.0067	244.9280
279.3410	0.0069	244.9730
279.3910	0.0072	244.9730
279.4410	0.0075	244.9730
279.4910	0.0075	244.9730
279.5410	0.0075	244.6320
279.5910	0.0075	244.1800
279.6410	0.0074	244.0010
279.6910	0.0074	244.0010
279.7410	0.0074	244.0010
279.7910	0.0074	244.0010
279.8410	0.0074	244.3880
279.8910	0.0074	244.9180
279.9410	0.0074	244.9180
279.9910	0.0074	244.9180
280.0410	0.0069	245.1380
280.0910	0.0069	245.2350
280.1410	0.0069	245.5230
280.1910	0.0069	246.0030
280.2410	0.0070	246.0030
280.2910	0.0070	246.0030
280.3410	0.0070	246.0030
280.3910	0.0071	246.0030
280.4410	0.0071	242.3540
280.4910	0.0071	242.3540
280.5410	0.0072	242.2890
280.5910	0.0074	241.8300
280.6410	0.0074	241.8300
280.6910	0.0075	241.9090
280.7410	0.0075	241.9090
280.7910	0.0075	241.8320
280.8410	0.0075	241.8300
280.8910	0.0075	241.6570
280.9410	0.0075	241.6570
280.9910	0.0076	240.8040
281.0410	0.0077	240.8040
281.0910	0.0077	240.8040
281.1410	0.0077	240.8040
281.1910	0.0077	241.8960
281.2410	0.0077	242.2680
281.2910	0.0077	242.3720
281.3410	0.0076	242.5510
281.3910	0.0076	242.5510
281.4410	0.0072	242.5510
281.4910	0.0072	242.3720
281.5410	0.0070	245.0560
281.5910	0.0069	247.5080
281.6410	0.0061	247.5080
281.6910	0.0053	248.0570
281.7410	0.0052	248.0570
281.7910	0.0052	248.0570
281.8410	0.0050	248.0570
281.8910	0.0050	248.0570
281.9410	0.0050	248.0570
281.9910	0.0050	247.9990
282.0410	0.0050	247.8370
282.0910	0.0050	247.8370
282.1410	0.0053	247.8110
282.1910	0.0053	246.9370
282.2410	0.0053	179.6270
282.2910	0.0053	179.6270
282.3410	0.0053	179.6270
282.3910	0.0053	179.6270
282.4410	0.0055	179.6270
282.4910	0.0055	179.6270
282.5410	0.0055	179.6270
282.5910	0.0056	170.9090
282.6410	0.0056	170.5910
282.6910	0.0056	170.1480
282.7410	0.0056	168.9130
282.7910	0.0049	168.9130
282.8410	0.0044	169.5990
282.8910	0.0039	169.5990
282.9410	0.0036	169.5990
282.9910	0.0035	169.4190
283.0410	0.0035	169.4190
283.0910	0.0035	169.4190
283.1410	0.0034	169.2860
283.1910	0.0034	169.1820
283.2410	0.0035	168.9130
283.2910	0.0035	168.9130
283.3410	0.0034	168.9130
283.3910	0.0034	168.9130
283.4410	0.0035	174.8320
283.4910	0.0035	174.8320
283.5410	0.0036	174.8320
283.5910	0.0042	174.8320
283.6410	0.0042	173.8440
283.6910	0.0042	169.9510
283.7410	0.0042	168.4950
283.7910	0.0039	168.4950
283.8410	0.0039	168.4950
283.8910	0.0039	168.4950
283.9410	0.0039	176.3270
283.9910	0.0039	176.3270
284.0410	0.0040	176.3270
284.0910	0.0042	176.3330
284.1410	0.0042	176.3890
284.1910	0.0042	176.6220
284.2410	0.0042	177.0490
284.2910	0.0043	177.0490
284.3410	0.0054	177.8210
284.3910	0.0054	177.8210
284.4410	0.0054	177.8210
284.4910	0.0054	177.8210
284.5410	0.0054	177.8210
284.5910	0.0054	177.4180
284.6410	0.0049	177.4180
284.6910	0.0048	177.0960
284.7410	0.0046	177.0960
284.7910	0.0045	177.0960
284.8410	0.0039	177.0960
284.8910	0.0037	177.0960
284.9410	0.0037	177.1570
284.9910	0.0037	177.4350
285.0410	0.0037	177.7150
285.0910	0.0037	177.7150
285.1410	0.0038	177.7150
285.1910	0.0039	177.7150
285.2410	0.0040	175.3970
285.2910	0.0042	175.0630
285.3410	0.0045	174.3350
285.3910	0.0048	174.1250
285.4410	0.0048	164.9970
285.4910	0.0048	164.9970
285.5410	0.0048	164.9970
285.5910	0.0047	164.9970
285.6410	0.0046	165.3000
285.6910	0.0045	169.2840
285.7410	0.0045	169.8380
285.7910	0.0045	170.3480
285.8410	0.0045	171.4950
285.8910	0.0045	178.2660
285.9410	0.0045	178.2660
285.9910	0.0045	178.2660
286.0410	0.0045	179.5720
286.0910	0.0046	180.3790
286.1410	0.0048	180.7560
286.1910	0.0052	180.8280
286.2410	0.0055	180.8280
286.2910	0.0055	181.9310
286.3410	0.0055	181.9310
286.3910	0.0055	181.9310
286.4410	0.0055	180.8280
286.4910	0.0055	180.0850
286.5410	0.0055	178.0910
286.5910	0.0055	178.0910
286.6410	0.0053	178.0910
286.6910	0.0053	178.0760
286.7410	0.0053	177.8350
286.7910	0.0053	176.2490
286.8410	0.0053	177.5910
286.8910	0.0053	177.5910
286.9410	0.0053	177.5910
286.9910	0.0052	177.5910
287.0410	0.0052	177.5910
287.0910	0.0052	178.7330
287.1410	0.0052	178.7330
287.1910	0.0052	178.7330
287.2410	0.0053	178.7330
287.2910	0.0054	178.7330
287.3410	0.0055	178.7750
287.3910	0.0055	178.8620
287.4410	0.0055	179.2800
287.4910	0.0056	179.3510
287.5410	0.0056	180.0100
287.5910	0.0056	180.6890
287.6410	0.0056	180.9390
287.6910	0.0056	180.9390
287.7410	0.0052	181.6290
287.7910	0.0045	181.6290
287.8410	0.0045	181.6290
287.8910	0.0045	181.6290
287.9410	0.0045	180.5530
287.9910	0.0047	180.2330
288.0410	0.0049	180.0810
288.0910	0.0049	180.0420
288.1410	0.0049	179.9020
288.1910	0.0050	180.0420
288.2410	0.0050	179.9020
288.2910	0.0050	179.7960
288.3410	0.0049	178.1700
288.3910	0.0049	177.6380
288.4410	0.0049	176.0730
288.4910	0.0047	176.0730
288.5410	0.0046	176.0730
288.5910	0.0046	177.4980
288.6410	0.0045	177.4980
288.6910	0.0045	177.5410
288.7410	0.0044	177.5410
288.7910	0.0043	177.5410
288.8410	0.0042	177.6050
288.8910	0.0042	177.8720
288.9410	0.0042	178.7020
288.9910	0.0040	179.0170
289.0410	0.0040	179.1400
289.0910	0.0040	181.4080
289.1410	0.0040	182.3630
289.1910	0.0039	183.7080
289.2410	0.0039	186.0190
289.2910	0.0039	186.2390
289.3410	0.0039	186.7720
289.3910	0.0039	186.7720
289.4410	0.0038	186.7720
289.4910	0.0036	186.0190
289.5410	0.0028	183.4290
289.5910	0.0017	183.0310
289.6410	0.0017	183.0310
