# IODP371 site U1510 Rate of penetration (ROP) and Weight on bit (WOB) data. Data are only available for below 150 m in the borehole.
depth_(m)	ROP_(m/s)	WOB_(kN)
172.2910	0.0104	196.8770
172.3410	0.0104	196.8770
172.3910	0.0104	196.8770
172.4410	0.0102	196.8770
172.4910	0.0085	196.8770
172.5410	0.0074	196.8770
172.5910	0.0056	193.6580
172.6410	0.0043	193.4520
172.6910	0.0043	186.2310
172.7410	0.0043	184.3910
172.7910	0.0043	183.8440
172.8410	0.0061	183.8440
172.8910	0.0075	182.8290
172.9410	0.0075	182.8290
172.9910	0.0075	182.8290
173.0410	0.0075	182.8290
173.0910	0.0075	181.1250
173.1410	0.0075	176.6520
173.1910	0.0075	176.4840
173.2410	0.0075	174.5330
173.2910	0.0075	174.3660
173.3410	0.0075	172.3990
173.3910	0.0075	169.9230
173.4410	0.0075	168.6030
173.4910	0.0075	167.3890
173.5410	0.0075	165.6140
173.5910	0.0075	164.7210
173.6410	0.0075	163.5520
173.6910	0.0076	163.2840
173.7410	0.0076	162.6380
173.7910	0.0076	160.0140
173.8410	0.0077	156.7700
173.8910	0.0077	156.1320
173.9410	0.0079	154.6510
173.9910	0.0079	154.6510
174.0410	0.0079	154.6510
174.0910	0.0079	154.6510
174.1410	0.0079	154.6510
174.1910	0.0079	154.6510
174.2410	0.0079	155.7200
174.2910	0.0079	158.6360
174.3410	0.0079	164.1520
174.3910	0.0079	179.7830
174.4410	0.0079	191.7130
174.4910	0.0079	191.7130
174.5410	0.0079	199.2770
174.5910	0.0079	200.0220
174.6410	0.0079	200.0220
174.6910	0.0079	200.0220
174.7410	0.0079	200.0220
174.7910	0.0079	195.6390
174.8410	0.0083	195.6390
174.8910	0.0083	195.6390
174.9410	0.0083	195.6390
174.9910	0.0083	195.6390
175.0410	0.0083	195.6390
175.0910	0.0083	195.6390
175.1410	0.0072	193.4820
175.1910	0.0055	188.3460
175.2410	0.0040	187.5050
175.2910	0.0031	186.0930
175.3410	0.0020	180.7170
175.5910	0.0044	170.4410
175.6410	0.0044	208.7120
175.6910	0.0044	208.7120
175.7410	0.0044	208.7120
175.7910	0.0044	208.7120
175.8410	0.0044	206.3030
175.8910	0.0044	205.3200
175.9410	0.0044	205.2560
175.9910	0.0044	204.9370
176.0410	0.0044	204.9370
176.0910	0.0045	204.9370
176.1410	0.0045	204.9370
176.1910	0.0045	205.0930
176.2410	0.0045	205.2480
176.2910	0.0045	205.9090
176.3410	0.0045	207.0010
176.3910	0.0045	209.6530
176.4410	0.0045	209.8060
176.4910	0.0045	209.8060
176.5410	0.0045	209.8060
176.5910	0.0045	209.8060
176.6410	0.0045	210.2510
176.6910	0.0045	210.2510
176.7410	0.0045	210.2510
176.7910	0.0045	210.2510
176.8410	0.0045	214.4880
176.8910	0.0046	214.4880
176.9410	0.0047	214.4880
176.9910	0.0072	214.4880
177.0410	0.0095	200.3730
177.0910	0.0095	197.7150
177.1410	0.0095	197.6170
177.1910	0.0099	197.6170
177.2410	0.0099	197.6170
177.2910	0.0100	197.6170
177.3410	0.0100	200.6670
177.3910	0.0100	200.6670
177.4410	0.0100	200.6670
177.4910	0.0100	202.4470
177.5410	0.0100	209.3080
177.5910	0.0100	209.9980
177.6410	0.0100	211.0630
177.6910	0.0100	212.1290
177.7410	0.0100	213.3050
177.7910	0.0100	216.9200
177.8410	0.0100	220.3630
177.8910	0.0099	221.3090
177.9410	0.0099	221.8900
177.9910	0.0099	223.4170
178.0410	0.0098	224.9430
178.0910	0.0098	225.5240
178.1410	0.0098	225.5240
178.1910	0.0098	225.5240
178.2410	0.0097	225.5240
178.2910	0.0097	225.5240
178.3410	0.0097	223.6000
178.3910	0.0097	220.2520
178.4410	0.0097	219.0020
178.4910	0.0097	217.7530
178.5410	0.0097	216.2450
178.5910	0.0097	214.2010
178.6410	0.0097	210.8170
178.6910	0.0101	210.7240
178.7410	0.0104	210.6450
178.7910	0.0104	208.0470
178.8410	0.0104	207.4460
178.8910	0.0104	206.7570
178.9410	0.0104	205.9340
178.9910	0.0104	205.9340
179.0410	0.0105	203.8430
179.0910	0.0107	203.8430
179.1410	0.0112	203.8430
179.1910	0.0114	202.3820
179.2410	0.0114	201.6560
179.2910	0.0114	201.6560
179.3410	0.0114	199.8860
179.3910	0.0114	199.8860
179.4410	0.0114	201.6560
179.4910	0.0114	201.9230
179.5410	0.0124	207.3230
179.5910	0.0127	210.5720
179.6410	0.0130	210.5720
179.6910	0.0130	210.7290
179.7410	0.0130	211.4230
179.7910	0.0130	211.4830
179.8410	0.0130	211.8920
179.8910	0.0119	213.7730
179.9410	0.0115	214.4000
179.9910	0.0108	214.8290
180.0410	0.0106	214.8290
180.0910	0.0106	214.8290
180.1410	0.0104	214.8290
180.1910	0.0100	208.3000
180.2410	0.0096	208.3000
180.2910	0.0096	203.5180
180.3410	0.0095	203.5180
180.3910	0.0092	203.5180
180.4410	0.0092	206.1820
180.4910	0.0092	208.8460
180.5410	0.0092	209.6920
180.5910	0.0092	210.5510
180.6410	0.0092	213.5290
180.6910	0.0092	216.2840
180.7410	0.0095	216.2840
180.7910	0.0097	216.2840
180.8410	0.0097	216.2840
180.8910	0.0097	216.2840
180.9410	0.0097	216.2840
180.9910	0.0097	216.2840
